category,show_count
Dramas,2221
International Movies,1927
Comedies,1542
International TV Shows,1000
Action & Adventure,722
Documentaries,668
TV Dramas,598
Independent Movies,552
Thrillers,436
TV Comedies,431
Children & Family Movies,377
Romantic Movies,376
Crime TV Shows,362
Kids' TV,326
Stand-Up Comedy,324
Romantic TV Shows,278
Docuseries,277
Horror Movies,262
Sci-Fi & Fantasy,260
Music & Musicals,243
British TV Shows,209
Sports Movies,157
Reality TV,153
Korean TV Shows,132
TV Action & Adventure,125
Anime Series,116
Spanish-Language TV Shows,116
Classic Movies,84
TV Mysteries,70
TV Sci-Fi & Fantasy,67
Science & Nature TV,67
LGBTQ Movies,60
Cult Movies,55
TV Horror,53
Faith & Spirituality,47
Teen TV Shows,46
Anime Features,45
TV Thrillers,44
Stand-Up Comedy & Talk Shows,42
Classic & Cult TV,22
